scenario,rep,timestamp,num_days,num_visits_obs,num_visits_ldr,num_visits_pp,num_visits_csect,planned_los_mean_obs,actual_los_mean_obs,planned_los_sd_obs,actual_los_sd_obs,planned_los_mean_ldr,actual_los_mean_ldr,planned_los_sd_ldr,actual_los_sd_ldr,planned_los_mean_pp,actual_los_mean_pp,planned_los_sd_pp,actual_los_sd_pp,planned_los_mean_csect,actual_los_mean_csect,planned_los_sd_csect,actual_los_sd_csect,occ_mean_obs,occ_stdev_obs,occ_var_obs,occ_sem_obs,occ_skew_obs,occ_kurt_obs,occ_p50_obs,occ_p75_obs,occ_p95_obs,occ_min_obs,occ_max_obs,occ_mean_ldr,occ_stdev_ldr,occ_var_ldr,occ_sem_ldr,occ_skew_ldr,occ_kurt_ldr,occ_p50_ldr,occ_p75_ldr,occ_p95_ldr,occ_min_ldr,occ_max_ldr,occ_mean_pp,occ_stdev_pp,occ_var_pp,occ_sem_pp,occ_skew_pp,occ_kurt_pp,occ_p50_pp,occ_p75_pp,occ_p95_pp,occ_min_pp,occ_max_pp,occ_mean_csect,occ_stdev_csect,occ_var_csect,occ_sem_csect,occ_skew_csect,occ_kurt_csect,occ_p50_csect,occ_p75_csect,occ_p95_csect,occ_min_csect,occ_max_csect,pct_waitq_ldr,waitq_ldr_mean,waitq_ldr_p95,pct_blocked_by_pp,blocked_by_pp_mean,blocked_by_pp_p95
60,1,2016-02-26 13:26:09.431788,2200,18112.0,18114.0,18128.0,4486.0,2.390150619093934,3.1526312457887373,2.3881815804240527,3.0976093539868175,12.001043370812814,11.542116784387188,8.45722819151804,8.610159939460026,53.93380406001765,53.93380406001765,18.414858095270528,18.414858095270528,3.006132021484637,3.278466230790497,0.24947322358851584,1.515823841691706,1.0814214927272716,0.7635860806437923,0.5830637025529481,0.016279709939242944,3.015476528320852,19.044933414104836,0.9038775000000001,1.33507825,2.473357199999999,0.0,10.50419,3.9592840559090945,1.1253835982617417,1.2664882432365454,0.023993258932425782,-0.2397024898680112,-0.5637937846121572,4.0019095,4.82209475,5.737669149999999,0.0,6.0,18.507183025909104,3.7016840917685236,13.702465115252158,0.07892017000872163,0.027698734456320213,-0.5227281144740822,18.428176999999998,21.0937585,25.009756249999995,7.0,26.0,0.27848950818181806,0.23131972325301126,0.05350881436584972,0.004931753070472355,2.6616285552848122,15.531233053445765,0.248021,0.37874675,0.6450956499999998,0.0,2.420382,0.23666777078502815,3.2213783789820507,8.540851419257432,0.06056928508384819,4.833343061087544,12.015233077058653
60,10,2016-02-26 13:26:39.361788,2200,18155.0,18157.0,18169.0,4558.0,2.393389687111769,3.2323647095696044,2.384870367987706,3.068853378204603,12.124725142632142,11.601322991996696,8.543778985638879,8.689044153929641,54.15818151797017,54.15818151797017,18.24515852117062,18.245158521170623,2.9997819525218192,3.3101405423225048,0.250665801542804,1.5535392915408193,1.1114224777272725,0.7742593717567757,0.599477574753197,0.016507265270358947,2.0960595184013195,6.833068556630572,0.9207005,1.3711745,2.6409712999999964,0.0,7.488714999999999,3.9888534745454547,1.169714969642849,1.3682331102065715,0.02493840694597365,-0.31562303638801253,-0.5543665705383068,4.0639585,4.906490499999999,5.787709349999999,0.332963,6.0,18.624750444545455,3.7621682482541465,14.153909928171675,0.0802096965578116,-0.05750625057898755,-0.5058208548784738,18.5488485,21.35484975,25.07768914999999,7.261007000000001,26.0,0.2857504495454542,0.24085651224275123,0.05801185948974258,0.0051350780949068415,2.5243223660374614,12.938848292835214,0.24957199999999996,0.38470775,0.6551980499999988,0.0,2.446088,0.2598446879991188,3.2284000705218263,8.325140811772869,0.06450547636083438,4.845721710067778,12.859662411558972
60,11,2016-02-26 13:27:09.001288,2200,18064.0,18067.0,18080.0,4499.0,2.4002120825242863,3.15636278568062,2.372785659430824,3.049703826020191,11.979471435926857,11.495807473044819,8.511626713581663,8.626884156204403,54.16061946902655,54.16061946902655,18.28471345764892,18.284713457648916,2.9983609094013586,3.308729702076719,0.24969954158689783,1.6140064955517848,1.0792016040909114,0.7456458928476708,0.5559877975206002,0.015897223850274214,2.6553796334856075,13.62434872074928,0.8896815,1.3171555000000001,2.5140524499999994,0.0,9.09463,3.931624939090906,1.140544353760354,1.3008414228946232,0.02431648732570542,-0.27402983119711305,-0.4888695374457173,3.9786865000000002,4.7943145,5.702084849999999,0.0,6.0,18.53133085772729,3.6961478391197677,13.66150884862973,0.0788021367056576,-0.06225302180757682,-0.46972307860642704,18.466667,21.1997255,24.888232249999998,7.0,26.0,0.2816729159090913,0.2590847903192227,0.0671249285747556,0.00552370628929014,3.444069791549221,23.18707382194586,0.2454165,0.37384225000000004,0.6774306999999997,0.0,3.082812,0.2363978524381469,3.203965265800212,8.46325849687173,0.0558075221238938,4.853572141539328,12.643022209418112
60,12,2016-02-26 13:27:38.971288,2200,18175.0,18177.0,18181.0,4555.0,2.382594343649233,3.268262940075529,2.387657774025862,3.18953137728819,11.992222504970831,11.49565096657973,8.45147521434975,8.618576892474806,54.051152301853584,54.051152301853584,18.462253628435093,18.462253628435096,3.0052240395582652,3.4286438514549995,0.2465667267793363,1.9173761651121028,1.124962032272727,0.8359043485226795,0.6987360798791251,0.01782154059098051,2.550873333386109,10.296872831028052,0.9302314999999999,1.3939614999999999,2.594023899999998,0.0,8.050891,3.956330412727275,1.183120161446256,1.3997733164206152,0.025224206595510727,-0.2486773973928784,-0.6244492346365678,3.9909784999999998,4.888064,5.80495295,0.0,6.0,18.60467835863639,3.9125973208416904,15.308417795057572,0.08341685516144905,-0.020163240586204494,-0.5617020223548481,18.561273,21.388374000000002,25.3010007,3.0,26.0,0.29578524545454543,0.2756088127621119,0.07596021767214087,0.005875999631480156,3.4043712696002646,21.566952838320788,0.250411,0.3890565,0.6948209999999987,0.0,3.212685,0.2599988997084227,3.4060708203014527,9.162097561624254,0.07595841812881579,5.273991228633171,13.918814169100198
60,13,2016-02-26 13:28:08.722788,2200,18129.0,18132.0,18142.0,4599.0,2.4142389167214318,3.236874665214835,2.400433295710613,3.1780447332221704,11.984768255841983,11.443723172703487,8.319584079554403,8.448136449805125,53.994046962848635,53.994046962848635,18.284450102296024,18.284450102296024,2.998783662950807,3.2753269643623857,0.2555484051387338,1.5757509885577399,1.1113500868181818,0.8116522406596102,0.6587793597677657,0.01730448391402652,2.8161949037746985,14.458851655596929,0.9234375,1.36407725,2.566530799999999,0.0,8.777141,3.928512480000004,1.1744221131718287,1.3792672999069833,0.025038763583210364,-0.28435146438811043,-0.562434797180199,3.9775519999999993,4.83691825,5.7657514,0.0,6.0,18.540085964545426,3.742761186081623,14.008261296039116,0.07979593660205761,-0.0843097266769893,-0.4379956401099874,18.541123,21.1782985,24.801081699999997,5.0,26.0,0.2852883572727275,0.24956280858244442,0.06228159542755779,0.005320696956549523,3.9487238419318045,35.97454150192515,0.2494965,0.3835125,0.6433355999999997,0.0,3.8311339999999996,0.24520185307743217,3.354201858186091,8.84624946249278,0.05528607650755154,4.762539426275073,13.91141772362846
60,14,2016-02-26 13:28:38.497288,2200,18080.0,18084.0,18088.0,4509.0,2.3955969846485345,3.1379738381036137,2.408830910766876,3.0678687904686877,11.984909768968734,11.506281653188166,8.523781466004378,8.630732580425189,53.99867315347191,53.99867315347191,18.479325881998893,18.479325881998893,2.9974705406517437,3.253077256720846,0.25161736008348806,1.381910769547702,1.0744684050000026,0.7282104331092351,0.5302904348891396,0.015525498599651823,2.508274381358648,11.883788952282202,0.9034375,1.31544,2.3806276,0.0,8.208391,3.9397137072727326,1.1582136226072821,1.341458795593084,0.024693197403269918,-0.2564854142647126,-0.6094751996556254,3.979757,4.8480697500000005,5.747980699999999,0.0,6.0,18.489894314545452,3.774493997858196,14.24680493986755,0.08047248242233193,-0.0019717394537296126,-0.5775652775967204,18.471412,21.16354175,24.937456299999997,6.357153,26.0,0.27774395500000004,0.22647630409603156,0.05129151631699816,0.004828491027084499,2.6071399245366753,16.46640017899488,0.2448785,0.38055849999999997,0.6312989999999998,0.0,2.731725,0.2351802698518027,3.1584631551512694,8.284074438744572,0.056943830163644404,4.448753454929115,11.752878471751472
60,15,2016-02-26 13:29:08.248788,2200,17991.0,17996.0,17996.0,4539.0,2.4003517417076448,3.137866521132621,2.394197940539761,3.0186864152832564,12.007785160376184,11.557231277273441,8.486162318827462,8.615832620612194,54.25205601244721,54.25205601244721,18.403221437086337,18.403221437086337,2.9991579068800305,3.330510451145584,0.2515470554294078,1.6675951644793086,1.0691321463636392,0.7483839938639107,0.5600786022716979,0.015955600360085854,2.180601358695203,7.445563334469102,0.898663,1.30397875,2.5421734,0.0,7.178194,3.9379955318181823,1.1539026746299639,1.3314913825181844,0.024601287683576313,-0.3039182531917937,-0.5174197472986483,3.9864930000000003,4.84737275,5.6855899999999995,0.0,6.0,18.488070205454534,3.7570707151321105,14.11558035850331,0.08010101678648515,-0.00890137481311017,-0.5574865646237553,18.425197,21.181042,24.97845605,6.907592999999999,26.0,0.2863105140909091,0.2547771720728337,0.0649114074094303,0.005431867559698476,3.3808566056013682,22.934079328147476,0.2470775,0.37988125,0.6675755499999998,0.0,3.260463,0.23516336963769727,3.135309167446749,8.111011965500795,0.06134696599244276,4.8744258766046356,12.98721214952168
60,16,2016-02-26 13:29:39.923788,2200,17873.0,17875.0,17881.0,4398.0,2.4020754959730852,3.1473892980236924,2.3907224037360226,3.0040471758614222,12.103557114212933,11.583902548696372,8.490621627622028,8.610415695756725,53.778200324366644,53.778200324366644,18.416685154646363,18.416685154646363,2.994842653703508,3.199178932263874,0.24891382950147245,1.142485221291483,1.0651473163636351,0.7366584620962657,0.5426656897780354,0.015705611182834613,2.135631067691771,7.553874509767963,0.8915854999999999,1.334757,2.4955637499999983,0.0,7.268542,3.920107894090895,1.1613416875313753,1.3487145151982227,0.02475988797153227,-0.25530485142823334,-0.562025413733799,3.9543925,4.83026,5.7373458,0.0,6.0,18.200212376818207,3.783602489245626,14.315647796625697,0.08066667611120382,-0.04897235634096919,-0.4201168914442895,18.135723,20.8498725,24.6336552,6.1782639999999995,26.0,0.2664769763636369,0.21179451934255933,0.04485691842354574,0.004515474324402583,1.996608868282923,9.418414148549147,0.24317149999999998,0.368776,0.6426942499999999,0.0,2.361528,0.23725874125874125,3.141896270834123,7.96545333233735,0.049829427884346515,4.223509339743066,10.77207914290555
60,17,2016-02-26 13:30:15.046288,2200,18110.0,18112.0,18116.0,4509.0,2.3677160962160158,3.1362175867170126,2.3558266233721263,3.0036977871710944,12.00249645540861,11.490482658684884,8.48997457449283,8.634031198419361,53.939059395009934,53.939059395009934,18.462139790995888,18.462139790995884,3.0002402613661885,3.241590876449417,0.2483715264480008,1.3629420579401064,1.0756818577272735,0.7303934116308791,0.5334745357537948,0.015572039858112166,2.02685520880141,7.4054600839716285,0.8828645,1.34282425,2.5199929999999973,0.0,7.745775,3.940286481818176,1.1740235746934296,1.3783313539359388,0.025030266714301367,-0.3040040369761017,-0.5129745309576128,4.0230265,4.86293425,5.74465315,0.0,6.0,18.496537111363608,3.8245495195152506,14.627179027224333,0.0815396697298157,-0.12890665994042805,-0.3389579916687961,18.502731500000003,21.22598925,25.0050432,4.034282,26.0,0.27681499090909106,0.23570251801205733,0.055555676997224204,0.005025194568699179,3.232872260391911,26.596258717103325,0.2475985,0.38048899999999997,0.6391291499999996,0.0,3.4772220000000003,0.24828842756183744,3.0948547905210404,7.903551023275943,0.05713181717818503,4.3522178440624755,11.911447635425578
60,18,2016-02-26 13:30:45.815288,2200,17994.0,17996.0,18005.0,4422.0,2.41191651243042,3.2036693392611877,2.406955701481946,3.0443109275824543,12.050833359169747,11.539531385688903,8.450584890325612,8.585333852063336,53.993001943904474,53.993001943904474,18.322427472682758,18.322427472682758,2.9938938011006995,3.2828749151165413,0.24953414187060327,1.5170350561479047,1.0916757390909122,0.7295145243796962,0.5321914412809343,0.015553301918957365,1.8948971762900102,6.159657300712287,0.921227,1.387497,2.5632509499999996,0.0,7.1474649999999995,3.932260190454553,1.1726022552964568,1.3749960491263369,0.024999964082940897,-0.20011572733750024,-0.7082303947716672,3.9888080000000006,4.8532955,5.771884399999999,0.0,6.0,18.404416840454555,3.773077140925865,14.2361111113773,0.08044227493103728,-0.05233408169643269,-0.4045149648099088,18.426157500000002,20.899319750000004,25.008840949999996,6.0,26.0,0.2749406063636368,0.24020906905189282,0.057700396854777014,0.005121274559697784,3.506248012184814,28.338145490224587,0.244751,0.3725985,0.6337599999999999,0.0,3.382512,0.2530562347188264,3.128414660955843,8.233604477810227,0.06153846153846154,4.4792010898179475,12.084558877456587
